Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]Loading weights: 100%|##########| 290/290 [00:00<00:00, 14501.22it/s]
loaded; total_mlp_neurons=116736
[capture] task=coding activation shape on layer0: (1, 62, 4864) (B,S,intermediate)
[capture] task=math activation shape on layer0: (1, 20, 4864) (B,S,intermediate)
core neurons: 253
[sweep] step=26/498 control=random seed=1 frac=0.0261 nll_target=0.8563611507415771 acc_target=None elapsed=241.7s
[sweep] step=26/498 control=random seed=2 frac=0.0261 nll_target=0.9064081236720085 acc_target=None elapsed=242.7s
[sweep] step=27/498 control=low seed=None frac=0.0271 nll_target=0.738397179171443 acc_target=None elapsed=243.7s
[sweep] step=27/498 control=random seed=0 frac=0.0271 nll_target=0.8142363429069519 acc_target=None elapsed=244.6s
[sweep] step=27/498 control=random seed=1 frac=0.0271 nll_target=0.8622774388641119 acc_target=None elapsed=245.8s
[sweep] step=27/498 control=random seed=2 frac=0.0271 nll_target=0.8779220674186945 acc_target=None elapsed=246.8s
[sweep] step=28/498 control=low seed=None frac=0.0281 nll_target=0.7394842989742756 acc_target=None elapsed=247.9s
[sweep] step=28/498 control=random seed=0 frac=0.0281 nll_target=0.7970551904290915 acc_target=None elapsed=249.0s
[sweep] step=28/498 control=random seed=1 frac=0.0281 nll_target=0.8600660506635904 acc_target=None elapsed=250.0s
[sweep] step=28/498 control=random seed=2 frac=0.0281 nll_target=0.8815631829202175 acc_target=None elapsed=251.0s
[sweep] step=29/498 control=low seed=None frac=0.0291 nll_target=0.73897610232234 acc_target=None elapsed=252.0s
[sweep] step=29/498 control=random seed=0 frac=0.0291 nll_target=0.8010344840586185 acc_target=None elapsed=252.9s
[sweep] step=29/498 control=random seed=1 frac=0.0291 nll_target=0.853913327679038 acc_target=None elapsed=253.9s
[sweep] step=29/498 control=random seed=2 frac=0.0291 nll_target=0.889855794608593 acc_target=None elapsed=254.9s
[sweep] step=30/498 control=low seed=None frac=0.0301 nll_target=0.7392415422946215 acc_target=None elapsed=255.9s
[sweep] step=30/498 control=random seed=0 frac=0.0301 nll_target=0.802382243797183 acc_target=None elapsed=256.9s
[sweep] step=30/498 control=random seed=1 frac=0.0301 nll_target=0.8730297293514013 acc_target=None elapsed=257.8s
